Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
42	Goucher College		HEI	"http://www.goucher.edu	"	Y						US	IAU-006747	IMPORT~27/02/20																	Goucher College											
43	Hamilton College		HEI	"http://www.hamilton.edu	"	Y						US	IAU-006966	IMPORT~27/02/20																	Hamilton College											
44	Hampden-Sydney College		HEI	"http://www.hsc.edu	"	Y						US	IAU-006969	IMPORT~27/02/20																	Hampden-Sydney College											
45	Haverford College		HEI	"http://www.haverford.edu	"	Y						US	IAU-007101	IMPORT~27/02/20																	Haverford College											
46	High Point University		HEI	"http://www.highpoint.edu	"	Y						US	IAU-007207	IMPORT~27/02/20																	High Point University											
47	Hillsdale College		HEI	"http://www.hillsdale.edu	"	Y						US	IAU-007330	IMPORT~27/02/20																	Hillsdale College											
48	Butler University		HEI	"http://www.butler.edu	"	Y						US	IAU-001857	IMPORT~27/02/20																	Butler University											
49	Interstudy		HEI	"http://www.interstudy.org/	"	Y						US	STA-00049	IMPORT~27/02/20																	Interstudy											
50	James Madison University		HEI	"http://www.jmu.edu	"	Y						US	IAU-009808	IMPORT~27/02/20																	James Madison University											
51	Knox College		HEI	"http://www.knox.edu	"	Y						US	IAU-010415	IMPORT~27/02/20																	Knox College											
52	Lafayette College		HEI	"http://www.lafayette.edu	"	Y						US	IAU-010789	IMPORT~27/02/20																	Lafayette College											
53	Marist College		HEI	"http://www.marist.edu	"	Y						US	IAU-011405	IMPORT~27/02/20																	Marist College											
